logmu	meanbeta	meanlen	meanp	period	slope
-5.367202518478974	0.01	0	0.8508797252140252	1	0.05889079061666913
-5.22791821359454	0.01	0	0.8072962480907879	2	0.04759903831849028
-5.705863066526253	0.01	0	0.8681337173922398	3	0.05051262840483512
-5.657766029888909	0.01	0	0.9064351106495757	4	0.04570492139454751
-5.478221439302356	0.01	0	0.9169024843249048	5	0.034212250824470165
-5.269232941194201	0.01	0	0.9483739894304828	6	0.02309606969816709
